epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,622.498,1.03045,2.10966,0.7704,0.59265,0.46105,0.45846,0.21491,0.61464,0.91406,0.46601,0.00166628,0.000555426,0.00166628,0.000555426,0.00166628,0.000555426,0.00166628,0.000555426
2,1147.17,0.68944,0.76837,0.45713,0.75638,0.63602,0.69826,0.33361,0.56409,0.66362,0.44266,0.00316828,0.00105609,0.00316828,0.00105609,0.00316828,0.00105609,0.00316828,0.00105609
3,1643.1,0.61084,0.71516,0.3919,0.77635,0.69366,0.75538,0.37774,0.53936,0.62777,0.40723,0.00450525,0.00150175,0.00450525,0.00150175,0.00450525,0.00150175,0.00450525,0.00150175
4,2136.15,0.58225,0.69153,0.37356,0.81242,0.73655,0.80071,0.40166,0.5307,0.59127,0.38976,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
5,2635.84,0.55822,0.67001,0.35069,0.82633,0.7584,0.81849,0.39947,0.54487,0.55821,0.4162,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
6,3130.35,0.54894,0.64452,0.35008,0.84397,0.76785,0.83306,0.41609,0.52266,0.54533,0.40763,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
7,3623.62,0.53436,0.62684,0.33876,0.83511,0.79936,0.84812,0.44282,0.51182,0.52314,0.40273,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
8,4121.51,0.52737,0.6194,0.3308,0.83761,0.80398,0.85293,0.43682,0.51275,0.53469,0.41061,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
9,4633.48,0.51189,0.61686,0.31541,0.85374,0.82159,0.87343,0.45577,0.50352,0.51656,0.39511,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
10,5159.16,0.50185,0.60315,0.31225,0.86881,0.80709,0.87074,0.45059,0.50582,0.51623,0.40548,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
11,5675.67,0.44257,0.51476,0.31654,0.88983,0.82936,0.89961,0.50009,0.47302,0.48382,0.36676,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
12,6166.87,0.43477,0.48874,0.30547,0.87826,0.84452,0.89042,0.50331,0.46693,0.48154,0.36542,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
13,6656.62,0.4241,0.48025,0.30209,0.89331,0.8517,0.9077,0.50866,0.46264,0.48454,0.35465,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
14,7164.72,0.41239,0.47172,0.29049,0.88536,0.86696,0.90792,0.52282,0.45627,0.46891,0.34968,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
15,7697.27,0.40783,0.46037,0.28913,0.89382,0.86598,0.91077,0.52212,0.45897,0.45943,0.34952,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
16,8204.33,0.39991,0.45261,0.28252,0.91115,0.86267,0.92304,0.54551,0.43777,0.45456,0.33465,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
17,8693.35,0.39621,0.44335,0.27455,0.89914,0.86497,0.91843,0.55511,0.42681,0.45258,0.32079,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
18,9178.62,0.38775,0.43921,0.26832,0.90012,0.87478,0.92247,0.55603,0.43019,0.44877,0.323,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
19,9664.19,0.38231,0.43823,0.26315,0.89998,0.87545,0.91835,0.55302,0.43095,0.45048,0.3263,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
20,10150,0.37893,0.43226,0.26288,0.89628,0.88127,0.92074,0.55303,0.4316,0.44989,0.32822,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
